

White Brain
{::::A:PP:P:A:A::}: x 2, y 1, X 3, Y 2, V 3, u 1
{:P::.P.A.:P:A:P:}: x 1, y 1, X 1, Y 2, V 4, u 1
{:P::.PPAA:.:::P:}: x 1, y 1, X 1, Y 2, V 15, u 4
{:P::A:.A.PP:::P:}: x 1, y 0, X 1, Y 1, V 4, u 1
{:P::APP....A:::A}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 2
{:P::APP.::.:::PA}: x 1, y 0, X 0, Y 1, V 3, u 1
{:P::APPA.:.:::P:}: x 1, y 0, X 0, Y 1, V 4, u 1
{:P::P.AAA:.:::P:}: x 1, y 0, X 1, Y 1, V 3, u 1
{:P::PA..A:PP::AA}: x 2, y 2, X 3, Y 3, V -9223372036854775808, u 1
{:P::PAP.A..A:::A}: x 2, y 1, X 3, Y 2, V 3, u 1
{:P::PAP.A:.A::P:}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{:P::PAPAA:.:::P:}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 3
{:P::PPA...:PA::A}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 2
{:P::PPA.A..P:::A}: x 1, y 0, X 2, Y 1, V -9223372036854775808, u 1
{:P:A...:PAP:A:P:}: x 1, y 0, X 1, Y 1, V 4, u 1
{:P:A.:P:AP.:::P:}: x 1, y 0, X 1, Y 1, V 15, u 4
{:P:AA.:::PP:::P:}: x 1, y 0, X 0, Y 1, V 4, u 1
{:P:AP..:.AP:A:P:}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:P:AP.::AAP:::P:}: x 0, y 1, X 1, Y 2, V 4, u 1
{:P:PP.:AA.A.::A:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{:P:PP.A...:.A:AA}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:P:PP.PA..A.AA::}: x 1, y 0, X 1, Y 2, V 2, u 1
{:P:PP.PAA...:AA:}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{:PA:.:..P:.:A:PA}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 47
{:PA:.:..P:.:A:PA}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 1
{:PA:.:.AP..:A:P:}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 2
{:PA:::..P:.AA:P:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{:PA::::.PA:P:::A}: x 1, y 0, X 1, Y 1, V 3, u 1
{:PA:::A.P..PA::A}: x 1, y 0, X 1, Y 1, V 3, u 1
{:PA::P:.P.:PA::A}: x 1, y 1, X 1, Y 2, V 3, u 1
{:PA:P:.....PA:AA}: x 0, y 1, X 0, Y 2, V 3, u 1
{:PP:.A..P.APA::A}: x 2, y 0, X 2, Y 1, V 4, u 1
{:PP:.A..P:.PA:AA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{:PP:.AA.P..PA::A}: x 2, y 0, X 1, Y 1, V -9223372036854775808, u 1
{:PP:.P..A:.:::PA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 6
{:PP::...APAP:::A}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{:PP::.A..P:PA::A}: x 1, y 0, X 1, Y 1, V 4, u 1
{:PP:AP.....P::AA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{:PP:P....AAPA::A}: x 0, y 1, X 1, Y 2, V -9223372036854775808, u 2
{:PP:P..A...:AA:A}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 2
{:PP:P..AAA.:::P:}: x 2, y 0, X 2, Y 1, V 3, u 1
{:PP:P.A.A..P:A:A}: x 1, y 0, X 1, Y 2, V 4, u 1
{:PP:PA....APA::A}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 8
{:PP:PA....APA::A}: x 2, y 0, X 1, Y 1, V -9223372036854775808, u 2
{:PP:PA...:.AA:P:}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:PP:PA..A..P::AA}: x 2, y 0, X 1, Y 1, V -9223372036854775808, u 1
{:PP:PA..A..P::AA}: x 2, y 0, X 2, Y 1, V 3, u 1
{:PP:PA..A:.:::PA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 2
{:PP:PAA....PA::A}: x 1, y 0, X 2, Y 1, V -9223372036854775808, u 1
{:PPP....P.A.AA:A}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 1
{:PPPP.....A.AA:A}: x 2, y 0, X 2, Y 1, V 2, u 1
{:PPPP...A...:AAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{A:::.:..APP:::PA}: x 1, y 2, X 1, Y 3, V 3, u 1
{A:::.:P..A.P::AA}: x 3, y 2, X 2, Y 3, V -9223372036854775808, u 1
{A:::.AP..:.:::PA}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{A:::.PA...:PA::P}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{A::::::P:P:P:A::}: x 3, y 2, X 3, Y 3, V 3, u 1
{A::::PA..P:A::::}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{A:::A:..::P::PPA}: x 2, y 2, X 3, Y 3, V 3, u 1
{A:::P:...:P:::PA}: x 2, y 2, X 3, Y 3, V 3, u 1
{A::A:P.:.:P::PP:}: x 1, y 1, X 1, Y 2, V 4, u 1
{A::A:PP:::.::PP:}: x 2, y 1, X 2, Y 2, V 12, u 3
{A::P:P.A.:P.::P:}: x 1, y 1, X 1, Y 2, V 4, u 1
{A:A::P:..::A:P::}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{A:P::PA..::P:P:A}: x 1, y 1, X 1, Y 2, V 4, u 1
{AP::.:....APA::P}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{AP::.:....PPA:AA}: x 2, y 2, X 3, Y 3, V -9223372036854775808, u 1
{AP::.:...:P:A:PA}: x 1, y 0, X 1, Y 2, V 3, u 1
{AP::.:P....PA:AA}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 1
{AP:::::..PAA::::}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{AP:::::..PAA::::}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{AP::::A..::A:P::}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 1
{AP::::P..P.A:::A}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 2
{P:::.A..:AA:::P:}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 1
{P:::.A..:APP::AA}: x 2, y 2, X 3, Y 3, V -9223372036854775808, u 1
{P:::.AP.:A.A::P:}: x 0, y 0, X 0, Y 1, V 3, u 1
{P:::.P.PA.AA::A:}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{P:::.PA.A:.A::P:}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{P::::A:AP::A::P:}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{P:::A:.P:PAA::A:}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{P:::A:A.:P.A::P:}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{P:::AP:A:P.:::P:}: x 1, y 2, X 1, Y 3, V 4, u 1
{P:::APP.:A.A::P:}: x 2, y 1, X 3, Y 2, V 12, u 3
{P:::P.:A.A:A::P:}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{P:::PAP...AP:::A}: x 0, y 0, X 1, Y 1, V 3, u 1
{P::AAP::::.::PP:}: x 1, y 1, X 1, Y 2, V 4, u 1
{P::P..:A.PA.:A::}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{P::P..P..AA.:A:A}: x 2, y 1, X 1, Y 2, V -9223372036854775808, u 1
{P::P.A:.:.A.::AA}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 1
{P::P.A:PA.P.::::}: x 0, y 0, X 0, Y 1, V 4, u 1
{P::P.AP.:...:AAA}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{P::P.PA....:AAA:}: x 3, y 0, X 3, Y 2, V -9223372036854775808, u 1
{P::PA..A.PP.:AA:}: x 1, y 2, X 2, Y 3, V 4, u 1
{P::PAA.A.:P.::P:}: x 0, y 0, X 1, Y 1, V 4, u 1
{P:A:.P:....PAAA:}: x 3, y 2, X 3, Y 3, V -9223372036854775808, u 1
{P:A:AP:....::AAP}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{P:P:..:.AP.P:A::}: x 3, y 2, X 3, Y 3, V 4, u 1
{P:P:..A.AP.P:A:A}: x 0, y 0, X 0, Y 1, V 4, u 1
{P:P:..P..A.PA::A}: x 2, y 1, X 2, Y 2, V 4, u 1
{P:P:..P..P.AAA::}: x 2, y 1, X 3, Y 2, V 4, u 1
{P:P:..P.AP..:A:A}: x 0, y 0, X 0, Y 1, V 3, u 1
{P:P:.A..:A.:::PA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{P:P:.A.P..:.AA:A}: x 0, y 0, X 1, Y 1, V 3, u 1
{P:P:.P..AA.P::AA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{P:P:.PA..A.PA::A}: x 0, y 0, X 0, Y 2, V 8, u 2
{P:P:A.:..APP:::A}: x 2, y 2, X 3, Y 3, V 4, u 1
{P:P:A.:.:P.::A:P}: x 2, y 0, X 2, Y 1, V 4, u 1
{P:P:AA:..::P:::P}: x 2, y 0, X 1, Y 1, V 4, u 1
{P:P:AP..:A.:::PA}: x 2, y 0, X 2, Y 1, V 4, u 1
{P:PA.P.:.A.:A:P:}: x 0, y 0, X 0, Y 1, V 3, u 1
{P:PP.....A..:AAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{P:PP....AP..:AAA}: x 3, y 0, X 3, Y 2, V 4, u 1
{P:PP..:AA.P.:A::}: x 2, y 0, X 3, Y 1, V 4, u 1
{P:PP..A..P..AA:A}: x 3, y 0, X 2, Y 1, V 7, u 2
{P:PP..PA....AA::}: x 2, y 1, X 2, Y 2, V 4, u 1
{P:PP.P....A.AA:A}: x 3, y 0, X 3, Y 1, V 3, u 1
{P:PP.P..A...:AAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{P:PPA....P..:AAA}: x 2, y 0, X 2, Y 2, V 4, u 1
{PA::.:..:A:P::AP}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 1
{PA::::PAP..:::P:}: x 0, y 2, X 0, Y 3, V 4, u 1
{PA::P:P....A::P:}: x 0, y 1, X 0, Y 2, V 4, u 1
{PA::P:P....P::AA}: x 3, y 2, X 2, Y 3, V 4, u 1
{PA:A::P::..:P:P:}: x 2, y 1, X 2, Y 2, V 4, u 1
{PP::....AAPP::AA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::...A.AP:A:P:}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::...A.AP:A:P:}: x 0, y 0, X 0, Y 2, V 4, u 1
{PP::...PA.PA:AA:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PP::..:AAAP:::P:}: x 0, y 0, X 0, Y 1, V 4, u 1
{PP::..P.A.AP:A:A}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 1
{PP::..P.AA.A::P:}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::..P.AA.A::P:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 3
{PP::..P.AA.A::P:}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 2
{PP::..P.AA.A::P:}: x 2, y 1, X 1, Y 2, V 4, u 1
{PP::.A...:PAA:P:}: x 0, y 0, X 1, Y 1, V 4, u 1
{PP::.A...:PPA:AA}: x 3, y 2, X 2, Y 3, V 9, u 3
{PP::.A..A:P:::PA}: x 0, y 0, X 1, Y 1, V 6, u 2
{PP::.A.A.:P:A:P:}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::.A:AA:P:::P:}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PP::.AP.A:.:::PA}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 39546
{PP::.AP.A:.:::PA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::.AP.A:.:::PA}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{PP::A...:AP:::PA}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PP::A.:..APA:::A}: x 2, y 2, X 2, Y 3, V -9223372036854775808, u 1
{PP::A.:.:APA::P:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PP::A.:.:P.A::P:}: x 1, y 0, X 1, Y 1, V 4, u 1
{PP::A.:A.A::::PA}: x 1, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP::A.P..A.P::AA}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{PP::A.P.:A.:::PA}: x 1, y 0, X 1, Y 1, V 4, u 1
{PP::AA...:P:::PA}: x 1, y 0, X 0, Y 1, V 3, u 1
{PP::AAP....P::AA}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PP::AAP....P::AA}: x 1, y 0, X 0, Y 1, V 7, u 2
{PP::AAP..:.:::PA}: x 0, y 0, X 1, Y 1, V 4, u 1
{PP:P......A.A:AA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PP:P..P....AAAA:}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PPP:.......AAA:A}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 2
{PPP:......APAA:A}: x 0, y 0, X 0, Y 2, V 4, u 1
{PPP:.....A.AA:P:}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 2
{PPP:.....A.AA:P:}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
{PPP:.....A.PA:AA}: x 3, y 2, X 2, Y 3, V -9223372036854775808, u 39624
{PPP:.....A.PA:AA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 2
{PPP:.....A.PA:AA}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 1
{PPP:.....A.PA:AA}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 3
{PPP:.....A.PA:AA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{PPP:.....A.PA:AA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 4
{PPP:....A..P:AAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{PPP:....A..P:AAA}: x 0, y 0, X 0, Y 1, V 4, u 1
{PPP:....AA.:::PA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 39555
{PPP:....AA.:::PA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 2
{PPP:....AA.:::PA}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 2
{PPP:....AA.:::PA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{PPP:...A.A.:A:P:}: x 1, y 0, X 1, Y 1, V 3, u 1
{PPP:...P...AAAA:}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{PPP:..A....PAA:A}: x 1, y 0, X 2, Y 1, V 4, u 1
{PPP:.A.....PA:AA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 14
{PPP:.A.....PA:AA}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 1
{PPP:.A.....PA:AA}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 1
{PPP:.A.....PA:AA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 2
{PPP:.A.....PA:AA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{PPP:.A.....PA:AA}: x 3, y 2, X 2, Y 3, V -9223372036854775808, u 2
{PPP:.A...:.:A:PA}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 48
{PPP:.A...:.:A:PA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 1
